Codigo_IBGE,UF,Padrao_Acabamento,Mes,Ano,Tipo_Projeto,Descricao,Valor_m2,Regiao
11,Rondônia,Alto,janeiro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2398.7,Norte
11,Rondônia,Alto,janeiro,2025,PR4-3QP,Prédio residencial (4 pavimentos),2140.22,Norte
11,Rondônia,Alto,janeiro,2025,PC.12-LA,Prédio comercial (12 pavimentos),2226.95,Norte
11,Rondônia,Alto,fevereiro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2386.66,Norte
11,Rondônia,Alto,fevereiro,2025,PR4-3QP,Prédio residencial (4 pavimentos),2125.83,Norte
11,Rondônia,Alto,fevereiro,2025,PC.12-LA,Prédio comercial (12 pavimentos),2228.55,Norte
11,Rondônia,Alto,março,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2377.95,Norte
11,Rondônia,Alto,março,2025,PR4-3QP,Prédio residencial (4 pavimentos),2102.48,Norte
11,Rondônia,Alto,março,2025,PC.12-LA,Prédio comercial (12 pavimentos),2217.28,Norte
11,Rondônia,Alto,abril,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2392.01,Norte
11,Rondônia,Alto,abril,2025,PR4-3QP,Prédio residencial (4 pavimentos),2109.25,Norte
11,Rondônia,Alto,abril,2025,PC.12-LA,Prédio comercial (12 pavimentos),2225.03,Norte
11,Rondônia,Alto,maio,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2385.29,Norte
11,Rondônia,Alto,maio,2025,PR4-3QP,Prédio residencial (4 pavimentos),2106.6,Norte
11,Rondônia,Alto,maio,2025,PC.12-LA,Prédio comercial (12 pavimentos),2222.37,Norte
11,Rondônia,Alto,junho,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2435.07,Norte
11,Rondônia,Alto,junho,2025,PR4-3QP,Prédio residencial (4 pavimentos),2150.71,Norte
11,Rondônia,Alto,junho,2025,PC.12-LA,Prédio comercial (12 pavimentos),2264.83,Norte
11,Rondônia,Alto,julho,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2434.96,Norte
11,Rondônia,Alto,julho,2025,PR4-3QP,Prédio residencial (4 pavimentos),2148.01,Norte
11,Rondônia,Alto,julho,2025,PC.12-LA,Prédio comercial (12 pavimentos),2288.35,Norte
11,Rondônia,Alto,agosto,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2450.83,Norte
11,Rondônia,Alto,agosto,2025,PR4-3QP,Prédio residencial (4 pavimentos),2156.29,Norte
11,Rondônia,Alto,agosto,2025,PC.12-LA,Prédio comercial (12 pavimentos),2292.44,Norte
11,Rondônia,Alto,setembro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2458.17,Norte
11,Rondônia,Alto,setembro,2025,PR4-3QP,Prédio residencial (4 pavimentos),2167.85,Norte
11,Rondônia,Alto,setembro,2025,PC.12-LA,Prédio comercial (12 pavimentos),2310.19,Norte
11,Rondônia,Alto,outubro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2490.72,Norte
11,Rondônia,Alto,outubro,2025,PR4-3QP,Prédio residencial (4 pavimentos),2185.29,Norte
11,Rondônia,Alto,outubro,2025,PC.12-LA,Prédio comercial (12 pavimentos),2327.24,Norte
11,Rondônia,Alto,novembro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2494.83,Norte
11,Rondônia,Alto,novembro,2025,PR4-3QP,Prédio residencial (4 pavimentos),2197.7,Norte
11,Rondônia,Alto,novembro,2025,PC.12-LA,Prédio comercial (12 pavimentos),2342.32,Norte
11,Rondônia,Alto,dezembro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2496.91,Norte
11,Rondônia,Alto,dezembro,2025,PR4-3QP,Prédio residencial (4 pavimentos),2212.25,Norte
11,Rondônia,Alto,dezembro,2025,PC.12-LA,Prédio comercial (12 pavimentos),2355.62,Norte
11,Rondônia,Normal,janeiro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2009.92,Norte
11,Rondônia,Normal,janeiro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1911.39,Norte
11,Rondônia,Normal,janeiro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1666.13,Norte
11,Rondônia,Normal,janeiro,2025,PC.12-LA,Prédio comercial (12 pavimentos),1755.62,Norte
11,Rondônia,Normal,fevereiro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2015.89,Norte
11,Rondônia,Normal,fevereiro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1916.52,Norte
11,Rondônia,Normal,fevereiro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1667.23,Norte
11,Rondônia,Normal,fevereiro,2025,PC.12-LA,Prédio comercial (12 pavimentos),1756.51,Norte
11,Rondônia,Normal,março,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2024.35,Norte
11,Rondônia,Normal,março,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1925.93,Norte
11,Rondônia,Normal,março,2025,PR4-3QP,Prédio residencial (4 pavimentos),1664.53,Norte
11,Rondônia,Normal,março,2025,PC.12-LA,Prédio comercial (12 pavimentos),1748.6,Norte
11,Rondônia,Normal,abril,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2032.53,Norte
11,Rondônia,Normal,abril,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1933.25,Norte
11,Rondônia,Normal,abril,2025,PR4-3QP,Prédio residencial (4 pavimentos),1663.06,Norte
11,Rondônia,Normal,abril,2025,PC.12-LA,Prédio comercial (12 pavimentos),1750.7,Norte
11,Rondônia,Normal,maio,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2035.99,Norte
11,Rondônia,Normal,maio,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1936.88,Norte
11,Rondônia,Normal,maio,2025,PR4-3QP,Prédio residencial (4 pavimentos),1661.86,Norte
11,Rondônia,Normal,maio,2025,PC.12-LA,Prédio comercial (12 pavimentos),1742.86,Norte
11,Rondônia,Normal,junho,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2073.84,Norte
11,Rondônia,Normal,junho,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1971.37,Norte
11,Rondônia,Normal,junho,2025,PR4-3QP,Prédio residencial (4 pavimentos),1696.43,Norte
11,Rondônia,Normal,junho,2025,PC.12-LA,Prédio comercial (12 pavimentos),1771.45,Norte
11,Rondônia,Normal,julho,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2079.81,Norte
11,Rondônia,Normal,julho,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1976.02,Norte
11,Rondônia,Normal,julho,2025,PR4-3QP,Prédio residencial (4 pavimentos),1704.8,Norte
11,Rondônia,Normal,julho,2025,PC.12-LA,Prédio comercial (12 pavimentos),1790.72,Norte
11,Rondônia,Normal,agosto,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2088.42,Norte
11,Rondônia,Normal,agosto,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1985.12,Norte
11,Rondônia,Normal,agosto,2025,PR4-3QP,Prédio residencial (4 pavimentos),1711.21,Norte
11,Rondônia,Normal,agosto,2025,PC.12-LA,Prédio comercial (12 pavimentos),1795.01,Norte
11,Rondônia,Normal,setembro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2094.28,Norte
11,Rondônia,Normal,setembro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1992.52,Norte
11,Rondônia,Normal,setembro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1718.8,Norte
11,Rondônia,Normal,setembro,2025,PC.12-LA,Prédio comercial (12 pavimentos),1806.85,Norte
11,Rondônia,Normal,outubro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2108.05,Norte
11,Rondônia,Normal,outubro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2005.01,Norte
11,Rondônia,Normal,outubro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1727.42,Norte
11,Rondônia,Normal,outubro,2025,PC.12-LA,Prédio comercial (12 pavimentos),1822.75,Norte
11,Rondônia,Normal,novembro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2109.8,Norte
11,Rondônia,Normal,novembro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2005.9,Norte
11,Rondônia,Normal,novembro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1734.34,Norte
11,Rondônia,Normal,novembro,2025,PC.12-LA,Prédio comercial (12 pavimentos),1828.34,Norte
11,Rondônia,Normal,dezembro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2110.51,Norte
11,Rondônia,Normal,dezembro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2007.17,Norte
11,Rondônia,Normal,dezembro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1746.27,Norte
11,Rondônia,Normal,dezembro,2025,PC.12-LA,Prédio comercial (12 pavimentos),1841.78,Norte
11,Rondônia,Baixo,janeiro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1413.3,Norte
11,Rondônia,Baixo,janeiro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1338.29,Norte
11,Rondônia,Baixo,janeiro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1342.23,Norte
11,Rondônia,Baixo,fevereiro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1411.77,Norte
11,Rondônia,Baixo,fevereiro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1337.07,Norte
11,Rondônia,Baixo,fevereiro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1343.2,Norte
